dataset,mode,ablation,selected_count_mean,selected_count_std,total_value_mean,total_value_std,avg_risk_mean,avg_risk_std,runtime_ms_mean,runtime_ms_std,objective_score_mean,objective_score_std
aurora,context_only,all_constraints,30.0,0.0,186.25,0.0,0.39266666666666666,0.0,15.833725666501172,0.1601823942937117,21.76340874889611,0.0
aurora,fixed_weight_milp,all_constraints,30.0,0.0,186.25,0.0,0.39266666666666666,0.0,16.015628333358716,0.2933254367199934,21.512435897435896,0.0
aurora,greedy_feasible,all_constraints,19.0,1.7320508075688772,128.86333333333334,10.502001396559306,0.47285714285714286,0.012371791482634849,7.813369999591184,0.507773317721755,12.715424511414975,0.8400810894878277
aurora,learned_milp,all_constraints,30.0,0.0,191.67,0.22516660498395233,0.42733333333333334,0.006928203230275459,16.00874533323804,0.5606681936047099,19.05611701393623,0.1572713558227119
aurora,learned_milp,no_capacity,97.0,0.0,549.74,0.0,0.408659793814433,0.0,13.305299334509376,0.635954305022466,55.121568053413604,0.19076980616359093
aurora,learned_milp,no_dependency,30.0,0.0,191.67,0.22516660498395233,0.42733333333333334,0.006928203230275459,15.941165000792049,0.45137457674901593,19.05611701393623,0.1572713558227119
aurora,learned_milp,no_risk,30.0,0.0,191.67,0.22516660498395233,0.42733333333333334,0.006928203230275459,17.90188533292773,3.5825954478161575,19.05611701393623,0.1572713558227119
aurora,learned_milp,no_skill,30.0,0.0,191.67,0.22516660498395233,0.42733333333333334,0.006928203230275459,16.37877966762365,0.5775362153274802,19.05611701393623,0.1572713558227119
aurora,random_feasible,all_constraints,25.666666666666668,1.5275252316519465,141.49666666666667,9.987974435957137,0.38628917378917377,0.013557154881707997,7.729481333323444,0.15819160494901197,17.752880341880342,1.0784503457035683
spring_xd,context_only,all_constraints,30.0,0.0,163.23,0.0,0.30533333333333335,0.0,57.31339933360383,2.536409144694436,22.02949835916254,0.0
spring_xd,fixed_weight_milp,all_constraints,30.0,0.0,158.21,0.0,0.2866666666666667,0.0,60.53171500025201,5.757438882085264,21.637769230769226,0.0
spring_xd,greedy_feasible,all_constraints,13.0,0.0,86.27,0.0,0.43230769230769234,0.0,43.43486633418555,5.295544376054752,8.168457617358014,0.003188374788518928
spring_xd,learned_milp,all_constraints,30.0,0.0,165.26,0.0,0.3156666666666667,0.0,60.080942667506555,1.8276690211784734,17.99833656784163,0.010237572296093777
spring_xd,learned_milp,no_capacity,404.0,0.0,1784.39,0.0,0.336980198019802,0.0,50.17367499992057,0.49665054940501935,211.32057048775388,0.22863485321904722
spring_xd,learned_milp,no_dependency,30.0,0.0,165.26,0.0,0.3156666666666667,0.0,55.81819233460313,0.05701796362550769,17.99833656784163,0.010237572296093777
spring_xd,learned_milp,no_risk,30.0,0.0,165.26,0.0,0.3156666666666667,0.0,55.18035700030547,0.5862295112702183,17.99833656784163,0.010237572296093777
spring_xd,learned_milp,no_skill,30.0,0.0,165.26,0.0,0.3156666666666667,0.0,58.13465633279217,2.7865003583983663,17.99833656784163,0.010237572296093777
spring_xd,random_feasible,all_constraints,10.0,2.6457513110645907,42.04333333333333,11.83440042137046,0.31956349206349205,0.029690469825994388,40.00060733233113,1.2804241627051212,6.251102564102564,1.9611248756205657
tawos,context_only,all_constraints,30.0,0.0,179.86,0.0,0.32733333333333337,0.0,597.84240999943,114.05476631870812,22.803508526697954,0.0
tawos,fixed_weight_milp,all_constraints,30.0,0.0,166.72,0.0,0.2653333333333333,0.0,557.8760993327402,106.29304406752159,22.134769230769233,0.0
tawos,greedy_feasible,all_constraints,12.0,0.0,90.06,0.0,0.6441666666666667,0.0,291.72539366724476,61.25942693037951,9.006,0.0
tawos,learned_milp,all_constraints,30.0,0.0,213.73,0.0,0.6036666666666667,0.0,581.9659979994564,86.78359806529896,21.373,0.0
tawos,learned_milp,no_capacity,3107.0,0.0,17443.03,0.0,0.40028966849050535,0.0,394.71685566483455,48.5747797153778,1744.303,0.0
tawos,learned_milp,no_dependency,30.0,0.0,213.73,0.0,0.6036666666666667,0.0,565.3884963333743,104.3798634926744,21.373,0.0
tawos,learned_milp,no_risk,30.0,0.0,215.39000000000001,0.0,0.637,0.0,612.2945843332369,114.57443380618942,21.539,0.0
tawos,learned_milp,no_skill,30.0,0.0,213.73,0.0,0.6036666666666667,0.0,639.797490000395,128.83797214816155,21.373,0.0
tawos,random_feasible,all_constraints,18.333333333333332,2.081665999466133,102.83333333333333,11.52126873800509,0.4087039473684211,0.019585082115783834,312.31073366628453,89.36393733354603,12.375213675213674,1.3923447981865116
usergrid,context_only,all_constraints,30.0,0.0,190.15,0.0,0.36466666666666664,0.0,18.350787668168778,0.12156056211053251,22.774381078969483,0.0
usergrid,fixed_weight_milp,all_constraints,30.0,0.0,188.92999999999998,0.0,0.36000000000000004,0.0,19.017179667571327,0.8632866553910261,21.9284358974359,0.0
