ID,Issue_ID,Name,Description,Direction,Target_Issue_ID
2657,78,Relate,is related to,INBOUND,819
2658,78,Relate,is related to,INBOUND,183
2659,89,Relate,is related to,INBOUND,1260
2660,96,Relate,relates to,OUTBOUND,112
2661,112,Relate,is related to,INBOUND,96
2662,120,Relate,relates to,OUTBOUND,123
2663,123,Relate,is related to,INBOUND,120
2664,160,Relate,is related to,INBOUND,220
2665,183,Relate,relates to,OUTBOUND,78
2666,185,Relate,relates to,OUTBOUND,274
2667,209,Depend,is depended on by,INBOUND,334
2668,209,Depend,is depended on by,INBOUND,217
2669,213,Relate,is related to,INBOUND,1108
2670,216,Depend,is depended on by,INBOUND,946
2671,217,Depend,depends on,OUTBOUND,209
2672,220,Relate,relates to,OUTBOUND,160
2673,228,Depend,depends on,OUTBOUND,268
2674,240,Depend,is depended on by,INBOUND,345
2675,252,Depend,is depended on by,INBOUND,352
2676,257,Depend,depends on,OUTBOUND,258
2677,258,Depend,is depended on by,INBOUND,260
2678,258,Depend,is depended on by,INBOUND,259
2679,258,Depend,is depended on by,INBOUND,257
2680,259,Depend,depends on,OUTBOUND,258
2681,260,Depend,depends on,OUTBOUND,258
2682,268,Depend,is depended on by,INBOUND,228
2683,274,Relate,is related to,INBOUND,185
2684,282,Relate,is related to,INBOUND,906
2685,323,Relate,is related to,INBOUND,329
2686,324,Depend,depends on,OUTBOUND,339
2687,325,Relate,is related to,INBOUND,339
2688,329,Relate,relates to,OUTBOUND,323
2689,334,Depend,depends on,OUTBOUND,209
2690,339,Depend,is depended on by,INBOUND,324
2691,339,Relate,relates to,OUTBOUND,325
2692,345,Depend,depends on,OUTBOUND,240
2693,352,Depend,depends on,OUTBOUND,252
2694,352,Relate,relates to,OUTBOUND,1570
2695,413,Relate,is related to,INBOUND,420
2696,420,Relate,relates to,OUTBOUND,413
2697,421,Depend,depends on,OUTBOUND,535
2698,426,Depend,depends on,OUTBOUND,516
2699,443,Relate,relates to,OUTBOUND,487
2700,483,Depend,is depended on by,INBOUND,490
2701,484,Depend,is depended on by,INBOUND,547
2702,484,Depend,is depended on by,INBOUND,518
2703,486,Depend,depends on,OUTBOUND,525
2704,486,Relate,is related to,INBOUND,487
2705,487,Relate,relates to,OUTBOUND,486
2706,487,Relate,is related to,INBOUND,443
2707,490,Depend,depends on,OUTBOUND,483
2708,495,Relate,is related to,INBOUND,516
2709,505,Relate,relates to,OUTBOUND,563
2710,516,Depend,is depended on by,INBOUND,686
2711,516,Depend,is depended on by,INBOUND,426
2712,516,Relate,relates to,OUTBOUND,495
2713,518,Depend,depends on,OUTBOUND,484
2714,525,Depend,is depended on by,INBOUND,486
2715,532,Depend,is depended on by,INBOUND,539
2716,532,Relate,is related to,INBOUND,608
2717,535,Depend,is depended on by,INBOUND,421
2718,539,Depend,depends on,OUTBOUND,532
2719,539,Relate,is related to,INBOUND,608
2720,540,Depend,is depended on by,INBOUND,543
2721,543,Depend,depends on,OUTBOUND,540
2722,547,Depend,depends on,OUTBOUND,484
2723,563,Relate,is related to,INBOUND,505
2724,575,Depend,is depended on by,INBOUND,1075
2725,597,Relate,is related to,INBOUND,1317
2726,608,Relate,relates to,OUTBOUND,539
2727,608,Relate,relates to,OUTBOUND,532
2728,629,Relate,is related to,INBOUND,639
2729,639,Relate,relates to,OUTBOUND,629
2730,641,Relate,relates to,OUTBOUND,1716
2731,641,Relate,relates to,OUTBOUND,744
2732,657,Relate,relates to,OUTBOUND,692
2733,662,Depend,is depended on by,INBOUND,686
2734,673,Relate,relates to,OUTBOUND,719
2735,686,Depend,depends on,OUTBOUND,662
2736,686,Depend,depends on,OUTBOUND,516
2737,692,Relate,is related to,INBOUND,657
2738,719,Relate,is related to,INBOUND,673
2739,719,Relate,is related to,INBOUND,1981
2740,724,Depend,depends on,OUTBOUND,730
2741,730,Depend,is depended on by,INBOUND,724
2742,731,Duplicate,duplicates,OUTBOUND,1700
2743,744,Relate,is related to,INBOUND,641
2744,750,Relate,relates to,OUTBOUND,765
2745,765,Relate,relates to,OUTBOUND,978
2746,765,Relate,is related to,INBOUND,750
2747,766,Depend,depends on,OUTBOUND,978
2748,768,Relate,is related to,INBOUND,978
2749,769,Relate,relates to,OUTBOUND,1783
2750,769,Relate,relates to,OUTBOUND,872
2751,798,Relate,is related to,INBOUND,799
2752,798,Relate,is related to,INBOUND,1109
2753,799,Relate,relates to,OUTBOUND,798
2754,799,Relate,relates to,OUTBOUND,1110
2755,799,Relate,relates to,OUTBOUND,1109
2756,802,Depend,is depended on by,INBOUND,929
2757,819,Relate,relates to,OUTBOUND,78
2758,822,Relate,relates to,OUTBOUND,845
2759,823,Relate,relates to,OUTBOUND,828
2760,823,Relate,is related to,INBOUND,826
2761,826,Relate,relates to,OUTBOUND,828
2762,826,Relate,relates to,OUTBOUND,823
2763,828,Relate,is related to,INBOUND,823
2764,828,Relate,is related to,INBOUND,826
2765,829,Relate,relates to,OUTBOUND,1400
2766,839,Relate,relates to,OUTBOUND,946
2767,842,Relate,is related to,INBOUND,951
2768,843,Duplicate,duplicates,OUTBOUND,1053
2769,845,Relate,is related to,INBOUND,962
2770,845,Relate,is related to,INBOUND,822
2771,855,Depend,depends on,OUTBOUND,1076
2772,872,Relate,is related to,INBOUND,769
2773,875,Depend,is depended on by,INBOUND,1184
2774,875,Depend,is depended on by,INBOUND,971
2775,877,Depend,is depended on by,INBOUND,882
2776,882,Depend,depends on,OUTBOUND,877
2777,890,Relate,relates to,OUTBOUND,893
2778,893,Depend,depends on,OUTBOUND,894
2779,893,Relate,is related to,INBOUND,890
2780,894,Depend,is depended on by,INBOUND,893
2781,901,Relate,is related to,INBOUND,1249
2782,906,Relate,relates to,OUTBOUND,282
2783,929,Depend,depends on,OUTBOUND,802
2784,942,Relate,is related to,INBOUND,2065
2785,946,Depend,depends on,OUTBOUND,216
2786,946,Relate,is related to,INBOUND,839
2787,947,Relate,relates to,OUTBOUND,1057
2788,951,Relate,relates to,OUTBOUND,842
2789,953,Relate,is related to,INBOUND,2066
2790,954,Depend,depends on,OUTBOUND,998
2791,956,Relate,is related to,INBOUND,959
2792,957,Relate,is related to,INBOUND,958
2793,958,Relate,relates to,OUTBOUND,957
2794,959,Relate,relates to,OUTBOUND,956
2795,962,Relate,relates to,OUTBOUND,845
2796,971,Depend,depends on,OUTBOUND,875
2797,971,Relate,relates to,OUTBOUND,1184
2798,976,Relate,is related to,INBOUND,1522
2799,978,Depend,is depended on by,INBOUND,766
2800,978,Relate,relates to,OUTBOUND,768
2801,978,Relate,is related to,INBOUND,2886
2802,978,Relate,is related to,INBOUND,765
2803,981,Relate,is related to,INBOUND,1076
2804,988,Depend,is depended on by,INBOUND,2470
2805,994,Relate,relates to,OUTBOUND,1423
2806,995,Relate,is related to,INBOUND,1034
2807,998,Depend,is depended on by,INBOUND,954
2808,1005,Depend,is depended on by,INBOUND,1008
2809,1006,Relate,is related to,INBOUND,1013
2810,1007,Relate,relates to,OUTBOUND,1338
2811,1008,Depend,depends on,OUTBOUND,1005
2812,1010,Relate,relates to,OUTBOUND,1270
2813,1013,Relate,relates to,OUTBOUND,1006
2814,1014,Depend,depends on,OUTBOUND,3360
2815,1014,Relate,is related to,INBOUND,1700
2816,1022,Relate,is related to,INBOUND,1675
2817,1034,Relate,relates to,OUTBOUND,995
2818,1037,Depend,depends on,OUTBOUND,1421
2819,1037,Supersede,supersedes,OUTBOUND,1421
2820,1053,Depend,is depended on by,INBOUND,1252
2821,1053,Duplicate,is duplicated by,INBOUND,843
2822,1054,Relate,relates to,OUTBOUND,1088
2823,1057,Relate,is related to,INBOUND,947
2824,1062,Depend,is depended on by,INBOUND,1070
2825,1070,Depend,depends on,OUTBOUND,1062
2826,1075,Depend,depends on,OUTBOUND,575
2827,1076,Depend,is depended on by,INBOUND,855
2828,1076,Relate,relates to,OUTBOUND,981
2829,1087,Relate,relates to,OUTBOUND,1153
2830,1088,Relate,is related to,INBOUND,1054
2831,1108,Relate,relates to,OUTBOUND,213
2832,1109,Relate,relates to,OUTBOUND,798
2833,1109,Relate,relates to,OUTBOUND,1110
2834,1109,Relate,is related to,INBOUND,799
2835,1109,Relate,is related to,INBOUND,3360
2836,1110,Relate,is related to,INBOUND,799
2837,1110,Relate,is related to,INBOUND,3360
2838,1110,Relate,is related to,INBOUND,1109
2839,1124,Depend,is depended on by,INBOUND,1453
2840,1124,Depend,is depended on by,INBOUND,1327
2841,1143,Relate,relates to,OUTBOUND,1221
2842,1152,Depend,is depended on by,INBOUND,1172
2843,1153,Relate,is related to,INBOUND,1087
2844,1157,Depend,is depended on by,INBOUND,1769
2845,1160,Relate,relates to,OUTBOUND,1172
2846,1167,Depend,is depended on by,INBOUND,1266
2847,1172,Depend,depends on,OUTBOUND,1152
2848,1172,Relate,is related to,INBOUND,1160
2849,1179,Duplicate,is duplicated by,INBOUND,1180
2850,1180,Duplicate,duplicates,OUTBOUND,1179
2851,1184,Depend,depends on,OUTBOUND,875
2852,1184,Relate,is related to,INBOUND,971
2853,1196,Relate,relates to,OUTBOUND,1219
2854,1196,Relate,relates to,OUTBOUND,1208
2855,1208,Relate,is related to,INBOUND,1219
2856,1208,Relate,is related to,INBOUND,1196
2857,1219,Relate,relates to,OUTBOUND,1208
2858,1219,Relate,is related to,INBOUND,1196
2859,1221,Depend,is depended on by,INBOUND,1266
2860,1221,Relate,is related to,INBOUND,1143
2861,1223,Duplicate,duplicates,OUTBOUND,1741
2862,1231,Depend,depends on,OUTBOUND,1263
2863,1232,Relate,relates to,OUTBOUND,1254
2864,1233,Depend,depends on,OUTBOUND,1234
2865,1234,Depend,is depended on by,INBOUND,1233
2866,1236,Relate,is related to,INBOUND,1263
2867,1240,Relate,relates to,OUTBOUND,1300
2868,1246,Relate,relates to,OUTBOUND,1570
2869,1249,Relate,relates to,OUTBOUND,901
2870,1252,Depend,depends on,OUTBOUND,1053
2871,1252,Depend,is depended on by,INBOUND,3515
2872,1252,Depend,is depended on by,INBOUND,2647
2873,1254,Relate,relates to,OUTBOUND,1266
2874,1254,Relate,is related to,INBOUND,1232
2875,1257,Relate,is related to,INBOUND,1270
2876,1260,Relate,relates to,OUTBOUND,89
2877,1263,Depend,is depended on by,INBOUND,1231
2878,1263,Relate,relates to,OUTBOUND,1236
2879,1266,Depend,depends on,OUTBOUND,1221
2880,1266,Depend,depends on,OUTBOUND,1167
2881,1266,Relate,is related to,INBOUND,1254
2882,1267,Relate,is related to,INBOUND,1268
2883,1268,Relate,relates to,OUTBOUND,1267
2884,1270,Relate,relates to,OUTBOUND,1257
2885,1270,Relate,is related to,INBOUND,1010
2886,1272,Depend,depends on,OUTBOUND,1359
2887,1279,Depend,is depended on by,INBOUND,1423
2888,1300,Relate,is related to,INBOUND,1240
2889,1306,Duplicate,duplicates,OUTBOUND,1482
2890,1317,Relate,relates to,OUTBOUND,597
2891,1327,Depend,depends on,OUTBOUND,1124
2892,1338,Relate,is related to,INBOUND,1007
2893,1340,Depend,is depended on by,INBOUND,1341
2894,1341,Depend,depends on,OUTBOUND,1340
2895,1346,Supersede,is superseded by,INBOUND,1394
2896,1349,Depend,is depended on by,INBOUND,1446
2897,1355,Relate,relates to,OUTBOUND,1404
2898,1355,Relate,relates to,OUTBOUND,2710
2899,1359,Depend,is depended on by,INBOUND,1272
2900,1394,Relate,is related to,INBOUND,1691
2901,1394,Supersede,supersedes,OUTBOUND,1346
2902,1400,Relate,is related to,INBOUND,829
2903,1404,Relate,relates to,OUTBOUND,2710
2904,1404,Relate,is related to,INBOUND,1355
2905,1418,Depend,depends on,OUTBOUND,1419
2906,1418,Depend,depends on,OUTBOUND,1420
2907,1418,Relate,is related to,INBOUND,1725
2908,1418,Supersede,supersedes,OUTBOUND,1502
2909,1419,Depend,is depended on by,INBOUND,1418
2910,1419,Relate,is related to,INBOUND,1725
2911,1420,Depend,is depended on by,INBOUND,1418
2912,1420,Relate,is related to,INBOUND,1725
2913,1421,Depend,is depended on by,INBOUND,1037
2914,1421,Supersede,is superseded by,INBOUND,1037
2915,1423,Depend,depends on,OUTBOUND,1279
2916,1423,Relate,is related to,INBOUND,994
2917,1434,Depend,depends on,OUTBOUND,1514
2918,1441,Duplicate,duplicates,OUTBOUND,3358
2919,1444,Depend,is depended on by,INBOUND,1693
2920,1446,Depend,depends on,OUTBOUND,1349
2921,1453,Depend,depends on,OUTBOUND,1124
2922,1453,Relate,relates to,OUTBOUND,1616
2923,1456,Depend,depends on,OUTBOUND,1616
2924,1480,Depend,depends on,OUTBOUND,1492
2925,1482,Duplicate,is duplicated by,INBOUND,1306
2926,1491,Supersede,is superseded by,INBOUND,2346
2927,1492,Depend,is depended on by,INBOUND,1480
2928,1496,Relate,is related to,INBOUND,1497
2929,1497,Relate,relates to,OUTBOUND,1496
2930,1499,Relate,is related to,INBOUND,1500
2931,1500,Relate,relates to,OUTBOUND,1499
2932,1502,Relate,relates to,OUTBOUND,1725
2933,1502,Supersede,is superseded by,INBOUND,1418
